validity_l,validity_r,gaze_origin_l_x_mm,gaze_origin_l_y_mm,gaze_origin_l_z_mm,gaze_origin_r_x_mm,gaze_origin_r_y_mm,gaze_origin_r_z_mm,gaze_direction_l_x,gaze_direction_l_y,gaze_direction_l_z,gaze_direction_r_x,gaze_direction_r_y,gaze_direction_r_z,pupil_diameter_l_mm,pupil_diameter_r_mm,eye_openness_l,eye_openness_r,pupil_position_l_x,pupil_position_l_y,pupil_position_l_z,pupil_position_r_x,pupil_position_r_y,pupil_position_r_z,convergence_distance_mm,convergence_distance_validity,accelerometry_forearm_r_x_mps2,accelerometry_forearm_r_y_mps2,accelerometry_forearm_r_z_mps2,emg_wrist_flexor_mV,emg_wrist_extensor_mV,respiration_trace_mV,ecg_projection_ll_ra_mV,ecg_projection_la_ra_mV,ecg_projection_vx_rl_mV,ppg_finger_mV,eda_hand_l_kOhms
1.0,1.0,33.10005260649181,0.23157271127852186,-20.11596346658374,-32.85860097975957,-0.7826051863413008,-19.83763988434321,-0.01358855716765873,0.1666216774592324,0.9856715126643104,0.0033289591471354165,0.16007965330093624,0.9868356008378286,4.515227363223121,4.592928205217634,1.0,1.0,-107374176.0,0.4949752358453614,0.4303689837928801,4.344025239406931e-44,0.5561027602543906,4.20389539297445e-45,-107374176.0,0.0,10.928158967391305,1.5596127717391302,0.926290760869565,0.9143136816385392,-3.2241511801126115,64.16212068035932,3.6209043206579796,-0.4323582669555753,339.93485967207863,409.0310580288311,52.50944519098012
1.0,1.0,33.41343337770493,-0.5294971768818206,-20.032721262129527,-32.393707941448874,-1.4779615856352306,-19.84439407833039,0.014898088243272569,-0.0011648147825210652,0.9920503525506884,0.05926519726950024,-0.005012512207031262,0.9908067006913442,4.3648785182407925,4.350039951385013,0.9799540388205696,0.9906257393341216,-107374176.0,0.4803880240236009,0.4800616657686612,4.344025239406931e-44,0.5317371452138537,4.20389539297445e-45,-107374176.0,0.0,10.956351902173912,1.482082201086956,1.1770550271739129,0.7873757562868131,-3.2059759771645258,64.14567644912054,3.593208773308513,-0.4696703238013855,339.8557157989237,409.3678456959709,52.725918431651365
1.0,1.0,33.58224802168588,-0.30831539820111,-20.398567441910025,-32.36534802875821,-1.3898230658637156,-19.74248752896748,0.027630518353174604,0.024848998539031497,0.9984185355050224,0.0584518795921689,0.01058318122984871,0.9970872667100694,4.366753169468471,4.2985841054765,0.9865174974714008,0.9942661329867348,-107374176.0,0.4728385743404192,0.4716044440865517,4.344025239406931e-44,0.530886105128697,4.20389539297445e-45,-107374176.0,0.0,10.950152853260876,1.357082201086956,1.3706691576086958,0.8442093274101994,-3.2320126766258723,64.11163400550353,3.5090643152155123,-0.4789021729178747,339.79022736925367,410.4087969322345,52.216083332166605
1.0,1.0,33.767148699079236,0.16263586377340644,-22.00681680346292,-32.07351781451513,-1.077502114432198,-20.86756448897105,0.04891743735661582,-0.009684547545417907,0.8749553135463171,0.07029227604941714,-0.013480776832217262,0.8734764220222594,3.947689480251736,3.9252108619326633,0.8705233146273901,0.8924868493562653,-107374176.0,0.4604422452430875,0.477858145676908,4.240596067040099e-44,0.5196219413053422,3.686749531140291e-45,-107374176.0,0.0,10.619055706521738,0.5389775815217392,0.6891983695652173,0.9254207501068148,-3.267713968131046,64.13884872737816,3.4136685410117917,-0.5347740930916267,339.8263854449599,412.47424450549454,50.53268646113707
1.0,1.0,33.77574690561446,-0.5002251276894222,-19.568891737196182,-32.05466909257193,-1.2178342304532488,-20.000502450125552,0.0771895514594184,0.05335465688554068,0.995362781343006,0.0903514680408296,0.031145852709573405,0.9952907865009608,4.885558718726749,4.806739383273655,0.9530015493196154,0.9520102862327818,-107374176.0,0.4587601714190983,0.4666615731659389,4.344025239406931e-44,0.5170656823449664,4.20389539297445e-45,-107374176.0,0.0,10.81649116847826,1.5516304347826089,0.34510869565217395,0.7948766336939606,-3.400854542107913,64.14404164250615,3.5538772494684703,-0.4166833564765364,339.8278279213843,414.67276213369996,49.04750675120768
1.0,1.0,33.621932377890936,-0.26889679923890125,-19.44554925343348,-32.246527475024024,-0.8924507262214781,-20.193946475074405,0.0684419662233383,0.11588475060841398,0.9905626811678448,0.09911110287620907,0.07959577772352433,0.9916668240986172,4.999633486308749,4.973983582996187,0.9739130702283648,0.960678685515646,-107374176.0,0.4650596500862213,0.4488746217555469,4.344025239406931e-44,0.5223295473390155,4.20389539297445e-45,-107374176.0,0.0,10.80748980978261,1.6632982336956528,0.3166610054347826,0.4991689666814173,-3.5376013071459083,64.10403696300142,3.485023041474655,-0.4707281398459833,339.8244621430606,413.5516826923077,51.206656969264536
1.0,1.0,33.70367782834976,-0.3903323582240513,-19.41247782631526,-32.201985737634075,-1.0867141844734314,-19.95020827036055,0.08589105757455978,0.09742367456829737,0.9914925590394036,0.10967745099748884,0.06602223714192708,0.9917439657544332,4.662491510784816,4.513121044824993,0.9889972753941066,0.9714589256142812,-107374176.0,0.46004816322099606,0.4548861931950327,4.344025239406931e-44,0.518347137031101,4.20389539297445e-45,-107374176.0,0.0,10.71229619565218,1.8795855978260867,-0.2429517663043477,0.2711855677968689,-3.657326850375378,64.16875607191177,3.586861877040925,-0.4672661964272998,339.81099902976575,413.25835622710616,52.50357617382848
1.0,1.0,33.578169323149176,-0.3970554896763393,-19.264810592409173,-32.3131473480709,-1.060631101093595,-20.04115483117482,0.06297853257921007,0.10236031668526777,0.9926977006215898,0.09939829508463542,0.06710167536659846,0.9927572825598341,4.705914573063925,4.562528822157117,0.9931559735347354,0.9936989876959058,-107374176.0,0.4676848865217633,0.4531556222410429,4.344025239406931e-44,0.5236300695983189,4.20389539297445e-45,-107374176.0,0.0,10.688349184782616,2.229194972826086,-0.12958559782608695,0.2142077490310373,-3.8592014259773535,64.20029822305979,3.8447766617328414,-0.2734935300759911,339.8855269783625,415.42825663919433,50.80169297331497
1.0,1.0,34.08436675298782,-0.5174434601314484,-19.71479670206705,-31.65891423301091,-1.3121817452566964,-20.107887207515663,0.17092841012137275,0.06575296795557416,0.9738819788372706,0.18538072374131945,0.04120896354554191,0.9759925357879154,4.596505180237785,4.423650287446521,0.9539889965265516,0.98229870862431,-107374176.0,0.4339889731435549,0.4667614019579358,4.344025239406931e-44,0.4888214895886088,4.20389539297445e-45,-107374176.0,0.0,10.640540081521738,1.8849354619565213,-0.3755944293478261,0.20569713812677387,-3.924689855647451,64.18308467106134,3.863721185440636,-0.2446440015869625,339.8836998415581,416.91420558608075,50.2995988036921
1.0,1.0,33.88790833003937,-0.42863609677269343,-19.68177565317306,-31.897784944564577,-1.3610802302284837,-19.65880227467371,0.13027342538984996,0.07488704863048735,0.9841140868171812,0.14512355743892613,0.05634483458503845,0.9850364563957094,4.670632619706411,4.595851413787357,0.9534396749167215,0.9713998091599296,-107374176.0,0.4469058905092497,0.4620375138899637,4.344025239406931e-44,0.5029741853239045,4.20389539297445e-45,-107374176.0,0.0,10.73641304347826,1.8507133152173918,-0.05358355978260872,0.20281218527787104,-3.908245624408704,64.17491063798947,3.854200841039257,-0.21992957218136133,339.91562665308595,415.8353365384616,52.916243173630754
